id,email,password,role,created_at,updated_at
61af2084-94e6-483d-b446-3f18547e9ea3,hernánharo.buyer@gmail.com,$2b$12$cXNcJNj1MYa6jANhmkblq.X9gjXJzIYY7howODveyoyE3WgE372Zi,user,2026-02-14 16:44:50.154318-06:00,2026-02-14 16:44:50.154318-06:00
4c1fe19a-896c-46dd-9342-3ddf15d7be95,maríacristinabenítez.buyer@gmail.com,$2b$12$cVI2fCfPgjGdo0laA9W8OeYTRKhyaYN9eRJgAYsTlAPChusV09tJ.,user,2025-12-15 16:44:50.348149-06:00,2025-12-15 16:44:50.348149-06:00
0e38dbbf-5e07-4ac5-b3db-816ccc204d09,humbertogonzales.buyer@gmail.com,$2b$12$Va1rRYWuOChV31DBbnx64.DR5zmnXtFo/PuupvIuNBHd6fixKMUcm,user,2026-06-20 16:44:50.540778-06:00,2026-06-20 16:44:50.540778-06:00
866af491-931b-4e53-8baa-f593940af44a,ángelatamayo.buyer@gmail.com,$2b$12$spj4C6gRDql5Q90hWyyGUOhzV99wzgpQyZLWCl8ARSuR7S5IcPP6q,user,2025-08-01 16:44:50.733456-06:00,2025-08-01 16:44:50.733456-06:00
908adff9-1947-44e7-b485-ac7e8f5c664d,teodoroparedes.buyer@gmail.com,$2b$12$9OpsgizEFSK6ovfBO86fXOs31vHaG3aqAOesuGJj8xcxIbjD8aqyW,user,2025-08-23 16:44:50.926201-06:00,2025-08-23 16:44:50.926201-06:00
043ec065-1baf-4e97-8c97-3122fe40c3b4,pedrosalcido.buyer@gmail.com,$2b$12$DABeMTK3kiSZ01KzIZTs7OzfwDZGTAcCR/VVZMnVyEpvrjWHIrnKW,user,2026-01-28 16:44:51.118868-06:00,2026-01-28 16:44:51.118868-06:00
ea7db29e-1f88-40af-9af3-a5a499004024,daliaesquivel.buyer@gmail.com,$2b$12$k8VeA0WxkG5s.LTiayLU.uTT/mUS8t/zePxQ5CScyblxAcRspbB1S,user,2025-08-31 16:44:51.311539-06:00,2025-08-31 16:44:51.311539-06:00
2c7d79d1-acf0-4dc0-abba-d633d58b994e,brunoblanco.buyer@gmail.com,$2b$12$2rRGq/JdUIE517ziS794l.nEuneTZEfhi5XewMUMf5ejAPqN1NF3a,user,2026-03-08 16:44:51.504169-06:00,2026-03-08 16:44:51.504169-06:00
ed1e6fdb-3e53-4813-b7c3-05e992d498e8,elviamontes.buyer@gmail.com,$2b$12$ZtSwUZ0ruBqWDksfxJKH8u3mLaaT1ZEVaH6GY/47QJeNlnLjZj/de,user,2026-07-04 16:44:51.697029-06:00,2026-07-04 16:44:51.697029-06:00
405b9a9f-bcf2-4a22-8b0e-95acca0d41be,analuisalerma.buyer@gmail.com,$2b$12$/MzY5.dCbbS2XqMeJ1uYIuesyPQaJPixRSnoe9ILvWBH/NfvyGw7i,user,2025-04-20 16:44:51.890964-06:00,2025-04-20 16:44:51.890964-06:00
86888db1-a8be-43eb-9300-52a78ea9743b,ericroldán.buyer@gmail.com,$2b$12$LxhnJAXktaA0qBlqmjAOBegWYu3mzxaRhOXntsezhvk/7i4al3mhW,user,2025-08-10 16:44:52.083852-06:00,2025-08-10 16:44:52.083852-06:00
5d85bd5e-5062-486a-bfdf-5b9d01c96d7c,miguelcolunga.buyer@gmail.com,$2b$12$B6vzQfeVpycXshjcbNDrk.zOJKHRePcnpTr.JKg9WPGlaVtgb9W4C,user,2026-04-21 16:44:52.276859-06:00,2026-04-21 16:44:52.276859-06:00
651a34a7-7b3b-4d1d-9858-3794c5902b27,joaquínorellana.buyer@gmail.com,$2b$12$/JId2M/KPWBJVrFmD1wKCOdBmjhDB4MiVrg3X.l7uLQla0/0bQBXS,user,2026-06-19 16:44:52.469387-06:00,2026-06-19 16:44:52.469387-06:00
f39e6de3-4718-4a72-abe9-fc3e3d0b5dd2,carlotaortiz.buyer@gmail.com,$2b$12$Ej5wJ5nxCuviswkmZk03b.HpVBjA77WSd6Cfo2NZWNOhnDDeubM9m,user,2026-04-05 16:44:52.662018-06:00,2026-04-05 16:44:52.662018-06:00
47d6ec26-c79e-435c-8eac-865573b2ac78,gonzaloreynoso.buyer@gmail.com,$2b$12$Jbu7ktx/fZBCftSK4RLpuufrSqND9DT3wAS65Qdohc5hx.N2NBq56,user,2026-07-05 16:44:52.854878-06:00,2026-07-05 16:44:52.854878-06:00
56de9961-d090-4e08-9900-b69f2e2bdc1b,reynaldojaramillo.buyer@gmail.com,$2b$12$o7cSiyAVSdtVjMWLvEjE.eiI5EYkk.EBIUMlskBpfnJ4JgR7fKlrW,user,2026-06-22 16:44:53.047662-06:00,2026-06-22 16:44:53.047662-06:00
7b922293-cbe7-4e0b-9205-9fba88888a46,abigailperes.buyer@gmail.com,$2b$12$B.AJ/Aaim42S7RTG2pAZrOQmb6dFS6x870cqzBsKFGrEEqdJQzbWq,user,2026-02-01 16:44:53.240474-06:00,2026-02-01 16:44:53.240474-06:00
2ec5bf84-2777-4d0c-a1d5-145ab4e66288,liliaolivera.buyer@gmail.com,$2b$12$sZYmT5TsMDbaylu8BUyVrOQlffb0PRwCr5vJFPNFYMdtAIoZ5A0CS,user,2026-06-27 16:44:53.433315-06:00,2026-06-27 16:44:53.433315-06:00
9bbe2275-2ab9-445d-a97a-7c5b6c7acd3d,caridadmares.buyer@gmail.com,$2b$12$pyPGryuiIWip990QkLTXs.veNaZk6o/9XNsHRA/RiGUvaVqtxpyt.,user,2025-09-03 16:44:53.626103-06:00,2025-09-03 16:44:53.626103-06:00
1a2c3cfa-5878-4620-b2ba-00a5d0864806,paulinamireles.buyer@gmail.com,$2b$12$5yGFP/SQOzRHdTk6W07B7uXjiZRaGlQK6nesPJsx/5MPaHMWyOkBu,user,2026-03-06 16:44:53.819090-06:00,2026-03-06 16:44:53.819090-06:00
727a505a-3ad3-4aaa-979a-2c717ba05cde,estelacervantes.buyer@gmail.com,$2b$12$qkaIRwoviLyOZw/jmarE5OWNxi8BzwGQjjplv42Z9RxYzpPW3hnf.,user,2026-06-13 16:44:54.011962-06:00,2026-06-13 16:44:54.011962-06:00
235e928f-1404-4e57-be1f-24862935171d,elsasantacruz.buyer@gmail.com,$2b$12$pN1u86A1vbInGPESBHboyuricvCXCWqXbwXkGGlJr56QA5Ti1vsgG,user,2026-02-07 16:44:54.204522-06:00,2026-02-07 16:44:54.204522-06:00
3b23438f-e287-4a38-b086-8a067134f160,benitorodarte.buyer@gmail.com,$2b$12$W1ZkeOyA38TatkEp1uJybub1StDE4d61jg1eLLnJEEgAg5ATF2E7a,user,2026-04-25 16:44:54.397643-06:00,2026-04-25 16:44:54.397643-06:00
b8cc1148-950b-496c-862a-7840a73e8e01,altagraciatapia.buyer@gmail.com,$2b$12$PQQX0q6CNRfJ3yVvuy2st.EMuU.b4K7LpfNhvD1ONBo8mv4JbCb0O,user,2026-03-03 16:44:54.590533-06:00,2026-03-03 16:44:54.590533-06:00
05ca9e28-bb45-4d0e-a2b2-db233c675dff,raquelescalante.buyer@gmail.com,$2b$12$uwLgn.eGwmZRoCqmidvQeefOGYcSU6mqDuQKww6gGlo1kTzPXfXC6,user,2026-01-09 16:44:54.783560-06:00,2026-01-09 16:44:54.783560-06:00
98bf9528-ae76-47e8-b850-ca3cb00b0e36,cristalbarraza.buyer@gmail.com,$2b$12$xcCriM4GrkyjScJup8RiCOSiNAi3IKliqFHPx/b4UZGp7YDfaV1m6,user,2026-03-26 16:44:54.976721-06:00,2026-03-26 16:44:54.976721-06:00
ddb83635-ff56-4d1b-9437-22acffd0ae8b,violetacaldera.buyer@gmail.com,$2b$12$iReyFuP7IgvmlgT3itV53.3HYAEjYGwTQg4Q2hbMZ0AkSlUKl3HMW,user,2026-01-12 16:44:55.170953-06:00,2026-01-12 16:44:55.170953-06:00
6bfd6ca8-eacb-4be4-8678-66436b5f8afa,margaritamonroy.buyer@gmail.com,$2b$12$97wKAc4mUfW4WFxjjhYwde9E9FIBhuismWSFNWANJKMZ.3EoKZDLK,user,2026-02-27 16:44:55.364804-06:00,2026-02-27 16:44:55.364804-06:00
6e0f41c8-2a00-4010-8f50-689427905154,mateoescamilla.buyer@gmail.com,$2b$12$6ncFZgPY5LQMJ1rp/8iZsepb3EjfcfzlDdAzkPN6E2oAWM/lBWPU6,user,2026-05-13 16:44:55.557766-06:00,2026-05-13 16:44:55.557766-06:00
3e85483c-928f-44fe-9948-643fc1f0ad86,miriampantoja.buyer@gmail.com,$2b$12$gZP9bAZbzEhb9zdAq5ioPu87tohns.MLHw3fujJG4QGNgHEJ1Je5G,user,2026-02-24 16:44:55.750980-06:00,2026-02-24 16:44:55.750980-06:00
faa45676-2362-4875-a6f8-3b5dd68f2853,minervaortega.buyer@gmail.com,$2b$12$zu3JR0qKTx6.Czyze4Z9FOwqUUfJA9reu4SoprnLKZ1l0sskAvjAS,user,2026-04-02 16:44:55.943942-06:00,2026-04-02 16:44:55.943942-06:00
663b8db8-a7e1-41a0-84e8-814f68f4f37a,lucíaavilés.buyer@gmail.com,$2b$12$L91Bl4mOVJNaOTe6KyKMauAgRpNKl3vLP9XSPe0PZFU5Xwarte3IG,user,2026-02-01 16:44:56.136939-06:00,2026-02-01 16:44:56.136939-06:00
f518c4d3-d550-4dd6-bea7-ae6985ad30a0,wilfridoescalante.buyer@gmail.com,$2b$12$1ZXrqQJl767Jy2xXo8EKCOK2zKyIaBMMUKyJX6gI5B9jsc9lY9uPi,user,2025-11-22 16:44:56.329980-06:00,2025-11-22 16:44:56.329980-06:00
3f516892-96a1-4860-8457-81543df6405b,evamárquez.buyer@gmail.com,$2b$12$8NKT7x93vgAgz5r9U8SYJ.n/rblmP8Ao3F3Rs.4N/Gj//wGfRf4B2,user,2026-04-13 16:44:56.522930-06:00,2026-04-13 16:44:56.522930-06:00
0f9f4eee-de94-4c42-8c87-9906d73d213f,silvanogil.buyer@gmail.com,$2b$12$G.7U2dzX5O6ok6C9siNjiOIeAAkk1nKVfvAuwstQNrf/mgxihYXhW,user,2026-06-06 16:44:56.715919-06:00,2026-06-06 16:44:56.715919-06:00
92664660-83ee-4889-88a8-aa745240bf4f,ignaciomontaño.buyer@gmail.com,$2b$12$1dZnZcyWKm3a7g01WOxA8eYnzd0pNUhOxd0e0wve7eW2j/RhD.58y,user,2026-01-23 16:44:56.909317-06:00,2026-01-23 16:44:56.909317-06:00
fd1a4d85-4cac-4ee7-8ff5-2b6e08af64d2,jacintozúñiga.buyer@gmail.com,$2b$12$UqxFf8JiRf.haMBmmPtjD.yfpwbrIF8gfau5JIic7nK2Ey/Si35tm,user,2025-11-26 16:44:57.102634-06:00,2025-11-26 16:44:57.102634-06:00
29097ea7-9247-44a5-9ed2-15d5ef4a43bd,cristobalpérez.buyer@gmail.com,$2b$12$aT2uw1X.ReSM4qRa3J4tN.czCv4jtH36JtWUParaHh8lzTB/2i4ES,user,2026-06-10 16:44:57.295503-06:00,2026-06-10 16:44:57.295503-06:00
4122ce64-1b0f-4bc0-b0e5-bf6978fc1f81,almafuentes.buyer@gmail.com,$2b$12$AzAVsGS7WFe06xZnlOOMBOhBGa5wdi6UjGfYAj99LzGsqSfvOVkzm,user,2026-03-11 16:44:57.488339-06:00,2026-03-11 16:44:57.488339-06:00
51134ee3-f117-4baa-b2cf-a18f209c4a9d,timoteomerino.buyer@gmail.com,$2b$12$vAqya8HilCdppmDiNYeNluWQazMmB/u9zMDta4YQDos2a84WitC4a,user,2026-06-11 16:44:57.681046-06:00,2026-06-11 16:44:57.681046-06:00
53896f94-3e54-4240-99a0-f15db77d970c,victoriagallardo.buyer@gmail.com,$2b$12$I1w7Mv/tTRG6Tf1LlG528uTXVCPnEpx9NZyfkyvzyJcZLv3B3PlyK,user,2026-03-19 16:44:57.874068-06:00,2026-03-19 16:44:57.874068-06:00
b3be4be2-622a-40ad-80bd-2abee6216685,celiabáez.buyer@gmail.com,$2b$12$W9Tm6AXDFFS5V3kSYEAEQ.vSTEzjgNvpXXdgjkmzxpFu20jEsCvJu,user,2026-03-16 16:44:58.067298-06:00,2026-03-16 16:44:58.067298-06:00
87f970d4-6ab7-47d6-8f5c-b8f964250b6d,adrianacaraballo.buyer@gmail.com,$2b$12$ws4bpWKh2wOIaFeAI1RR0OlaQ0gUHnG6WIaTr9FfIWGcW6tsYy6te,user,2025-08-24 16:44:58.260484-06:00,2025-08-24 16:44:58.260484-06:00
